,Unnamed: 0,Location,Carpet_Area,Bedrooms,Bathrooms,Balconies,PricePerSqft,Transaction_Type,Totals_Floors,PropertyOnFloor,Furnishing,AgeofConstruction,Amenities,Price,New_Furnishing
2990,2990,kharghar,1150.0,2.0,2,3.0,9304,Resale ,14,6,Semi-Furnished,5.0,"Lift,Water Storage,Security,Vaastu Compliant,GYM,Waste Disposal,Open Parking,Piped Gas,Swimming Pool,Wifi,Garden,Park,Club House,Intercom,Maintenance Staff,Power Backup,Jogging Track,Bank ATM",10699600.0,Semi-Furnished
2991,2991,kharghar,1080.0,2.0,2,2.0,11111,Resale ,13,4,Unfurnished,3.0,"Lift,Water Storage,Security,Vaastu Compliant,GYM,Waste Disposal,Open Parking,Piped Gas,Swimming Pool,Wifi,Garden,Park,Club House,Intercom,Maintenance Staff,Power Backup,Jogging Track,Bank ATM",11999880.0,Unfurnished
2992,2992,kharghar,1370.0,3.0,3,1.0,12555,Resale ,7,2,Semi-Furnished,8.0,"Lift,Water Storage,Security,Vaastu Compliant,GYM,Waste Disposal,Open Parking,Piped Gas,Swimming Pool,Wifi,Garden,Park,Club House,Intercom,Maintenance Staff,Power Backup,Jogging Track,Bank ATM",17200350.0,Semi-Furnished
2993,2993,kharghar,910.0,2.0,2,2.0,13407,Resale ,7,4,Unfurnished,10.0,"Lift,Water Storage,Security,Vaastu Compliant,GYM,Waste Disposal,Open Parking,Piped Gas,Swimming Pool,Wifi,Garden,Park,Club House,Intercom,Maintenance Staff,Power Backup,Jogging Track,Bank ATM",12200370.0,Unfurnished
2994,2994,kharghar,678.0,1.0,1,1.0,8112,Resale ,7,3,Unfurnished,10.0,"Lift,Water Storage,Security,Vaastu Compliant,GYM,Waste Disposal,Cover Parking,Piped Gas,Swimming Pool",5499936.0,Unfurnished
2995,2995,kharghar,845.0,1.0,1,1.0,7456,Resale ,4,1,Unfurnished,10.0,"Lift,Water Storage,Security,Vaastu Compliant,GYM,Waste Disposal,Cover Parking,Piped Gas,Swimming Pool",6300320.0,Unfurnished
2996,2996,kharghar,1140.0,2.0,2,2.0,11140,Resale ,16,7,Unfurnished,10.0,"Lift,Water Storage,Security,Vaastu Compliant,GYM,Waste Disposal,Open Parking,Piped Gas,Swimming Pool,Wifi,Garden,Park,Club House,Intercom,Maintenance Staff,Power Backup,Jogging Track,Bank ATM",12699600.0,Unfurnished
2997,2997,kharghar,794.0,1.0,1,1.0,8942,Resale ,4,2,Unfurnished,5.0,"Lift,Water Storage,Security,Vaastu Compliant,GYM,Waste Disposal,Cover Parking,Piped Gas,Swimming Pool",7099948.0,Unfurnished
2998,2998,kharghar,1405.0,3.0,3,3.0,19431,Resale ,7,12,Unfurnished,10.0,"Lift,Water Storage,Security,Vaastu Compliant,GYM,Waste Disposal,Open Parking,Piped Gas,Swimming Pool,Wifi,Garden,Park,Club House,Intercom,Maintenance Staff,Power Backup,Jogging Track,Bank ATM",27300555.0,Unfurnished
2999,2999,kharghar,1048.0,2.0,2,3.0,8206,Resale ,5,1,Semi-Furnished,10.0,"Lift,Water Storage,Security,Vaastu Compliant,GYM,Waste Disposal,Open Parking,Piped Gas,Swimming Pool,Wifi,Garden,Park,Club House,Intercom,Maintenance Staff,Power Backup,Jogging Track,Bank ATM",8599888.0,Semi-Furnished
3000,3000,kharghar,788.0,2.0,2,2.0,10025,Resale ,13,11,Unfurnished,10.0,"Lift,Water Storage,Security,Vaastu Compliant,GYM,Waste Disposal,Open Parking,Piped Gas,Swimming Pool,Wifi,Garden,Park,Power Backup",7899700.0,Unfurnished
3001,3001,kharghar,1058.0,2.0,2,3.0,12098,Resale ,20,15,Furnished,10.0,"Lift,Water Storage,Security,Vaastu Compliant,GYM,Waste Disposal,Open Parking,Piped Gas,Swimming Pool,Wifi,Garden,Park,Club House,Intercom,Maintenance Staff,Power Backup,Jogging Track,Bank ATM",12799684.0,Furnished
